Model,Day 1 MAPE,Day 2 MAPE,Day 3 MAPE,Day 4 MAPE,Day 5 MAPE,Day 6 MAPE,Day 7 MAPE,Day 8 MAPE,Day 9 MAPE,Day 10 MAPE,Day 11 MAPE,Day 12 MAPE,Overall MAPE,Total Samples
deepseek-r1-distill-llama-70b,3.51%,4.14%,4.58%,5.22%,5.51%,5.98%,7.12%,8.00%,7.70%,7.77%,7.66%,10.35%,5.39%,4221
deepseek/deepseek-chat:free,2.71%,3.94%,4.69%,4.26%,5.12%,6.26%,10.09%,10.21%,8.13%,12.92%,8.78%,8.28%,6.54%,397
gemini-1.5-flash,2.62%,4.13%,4.70%,5.35%,6.12%,6.90%,7.45%,8.35%,8.43%,8.18%,8.13%,12.07%,5.58%,4454
gemini-2.0-flash,2.77%,3.80%,4.18%,4.95%,5.46%,5.92%,6.88%,7.52%,7.60%,7.06%,6.77%,11.38%,5.09%,4619
gemini-2.0-flash-lite,2.73%,3.89%,4.33%,5.00%,5.66%,6.15%,7.08%,8.00%,7.72%,6.64%,7.09%,11.86%,5.20%,4190
gemini-2.5-flash-preview-04-17,2.92%,4.02%,4.41%,5.03%,5.78%,6.04%,6.95%,7.58%,7.48%,6.63%,7.04%,10.67%,5.21%,4178
gemma2-9b-it,3.14%,4.46%,5.21%,5.80%,6.65%,6.77%,8.59%,7.72%,7.46%,6.70%,10.17%,10.48%,6.16%,1169
llama-3.1-8b-instant,3.74%,4.90%,5.44%,6.25%,6.90%,8.01%,9.35%,9.21%,9.12%,9.66%,12.76%,10.36%,6.56%,2331
llama-3.3-70b-versatile,2.36%,4.20%,5.27%,8.33%,8.51%,8.08%,11.32%,11.85%,12.35%,12.20%,1.21%,12.90%,8.53%,252
llama-4-maverick-17b-128e-instruct,3.07%,3.93%,4.38%,4.99%,5.40%,5.88%,6.85%,7.45%,7.43%,7.13%,6.02%,10.90%,5.15%,4309
llama-4-scout-17b-16e-instruct,2.83%,4.10%,4.87%,5.66%,6.30%,7.10%,8.36%,9.17%,7.09%,5.32%,19.51%,10.84%,5.35%,3306
qwen-qwq-32b,2.92%,3.84%,4.34%,4.97%,5.58%,6.20%,7.03%,7.86%,7.86%,7.37%,6.54%,11.67%,5.23%,4068
