Model,Ticker,MAPE,Samples
deepseek-r1-distill-llama-70b,002291.SZ,4.38%,4
deepseek-r1-distill-llama-70b,1810.HK,4.39%,4
deepseek-r1-distill-llama-70b,2354.TW,2.27%,5
deepseek-r1-distill-llama-70b,300750.SZ,3.01%,20
deepseek-r1-distill-llama-70b,5401.T,4.00%,7
deepseek-r1-distill-llama-70b,601398.SS,8.37%,2
deepseek-r1-distill-llama-70b,6448.T,2.46%,5
deepseek-r1-distill-llama-70b,9658.HK,8.66%,2
deepseek-r1-distill-llama-70b,AAL,4.59%,6
deepseek-r1-distill-llama-70b,AAPL,4.45%,52
deepseek-r1-distill-llama-70b,AB,1.55%,3
deepseek-r1-distill-llama-70b,ABBV,3.98%,24
deepseek-r1-distill-llama-70b,ABNB,6.09%,6
deepseek-r1-distill-llama-70b,AC,4.10%,7
deepseek-r1-distill-llama-70b,ACB,2.74%,8
deepseek-r1-distill-llama-70b,ACHR,9.82%,5
deepseek-r1-distill-llama-70b,ACRV,3.37%,1
deepseek-r1-distill-llama-70b,ADANIENT.NS,1.05%,1
deepseek-r1-distill-llama-70b,ADBE,2.05%,20
deepseek-r1-distill-llama-70b,ADMA,9.58%,6
deepseek-r1-distill-llama-70b,AEO,2.86%,13
deepseek-r1-distill-llama-70b,AFRM,10.66%,7
deepseek-r1-distill-llama-70b,AGNC,2.68%,1
deepseek-r1-distill-llama-70b,AI,6.67%,1
deepseek-r1-distill-llama-70b,AL,1.82%,1
deepseek-r1-distill-llama-70b,ALAB,1.86%,5
deepseek-r1-distill-llama-70b,ALB,3.35%,6
deepseek-r1-distill-llama-70b,ALIT,1.23%,6
deepseek-r1-distill-llama-70b,ALK,1.76%,5
deepseek-r1-distill-llama-70b,ALLY,6.26%,6
deepseek-r1-distill-llama-70b,AMAT,4.36%,11
deepseek-r1-distill-llama-70b,AMD,4.17%,61
deepseek-r1-distill-llama-70b,AME,0.72%,1
deepseek-r1-distill-llama-70b,AMTX,7.27%,4
deepseek-r1-distill-llama-70b,AMZN,3.75%,61
deepseek-r1-distill-llama-70b,AN,1.32%,3
deepseek-r1-distill-llama-70b,ANET,1.91%,5
deepseek-r1-distill-llama-70b,ANZ.AX,2.85%,8
deepseek-r1-distill-llama-70b,AON,1.17%,4
deepseek-r1-distill-llama-70b,APLD,2.50%,1
deepseek-r1-distill-llama-70b,APP,6.58%,20
deepseek-r1-distill-llama-70b,ARM,1.72%,3
deepseek-r1-distill-llama-70b,ASML,5.29%,16
deepseek-r1-distill-llama-70b,ASTS,4.65%,6
deepseek-r1-distill-llama-70b,ASX,7.33%,7
deepseek-r1-distill-llama-70b,AU,3.80%,5
deepseek-r1-distill-llama-70b,AVGO,1.86%,13
deepseek-r1-distill-llama-70b,AXL,0.43%,1
deepseek-r1-distill-llama-70b,AXON,4.61%,7
deepseek-r1-distill-llama-70b,AXP,5.67%,8
deepseek-r1-distill-llama-70b,B,1.28%,5
deepseek-r1-distill-llama-70b,BA,1.19%,9
deepseek-r1-distill-llama-70b,BABA,4.39%,15
deepseek-r1-distill-llama-70b,BAC,1.84%,9
deepseek-r1-distill-llama-70b,BAM,1.09%,1
deepseek-r1-distill-llama-70b,BAYRY,1.89%,2
deepseek-r1-distill-llama-70b,BBY,2.52%,2
deepseek-r1-distill-llama-70b,BCRX,2.75%,8
deepseek-r1-distill-llama-70b,BFLY,2.59%,6
deepseek-r1-distill-llama-70b,BHC,2.14%,8
deepseek-r1-distill-llama-70b,BHP,0.10%,3
deepseek-r1-distill-llama-70b,BHVN,1.19%,2
deepseek-r1-distill-llama-70b,BIDU,3.37%,7
deepseek-r1-distill-llama-70b,BIP,2.81%,6
deepseek-r1-distill-llama-70b,BIRK,5.97%,4
deepseek-r1-distill-llama-70b,BITO,2.80%,2
deepseek-r1-distill-llama-70b,BKH,5.93%,6
deepseek-r1-distill-llama-70b,BLBD,2.22%,6
deepseek-r1-distill-llama-70b,BLK,0.79%,8
deepseek-r1-distill-llama-70b,BMRN,4.51%,7
deepseek-r1-distill-llama-70b,BMW.DE,5.41%,10
deepseek-r1-distill-llama-70b,BMY,2.51%,13
deepseek-r1-distill-llama-70b,BNP.PA,0.67%,1
deepseek-r1-distill-llama-70b,BOOT,11.75%,4
deepseek-r1-distill-llama-70b,BP,1.95%,11
