Ticker,Day 1 MAPE,Day 2 MAPE,Day 3 MAPE,Day 4 MAPE,Day 5 MAPE,Day 6 MAPE,Day 7 MAPE,Day 8 MAPE,Day 9 MAPE,Day 10 MAPE,Day 11 MAPE,Day 12 MAPE,Overall MAPE,Total Samples
000625.SZ,1.03%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.03%,4
001896.SZ,N/A,N/A,2.71%,1.56%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.14%,2
002291.SZ,3.46%,4.78%,N/A,N/A,3.39%,5.88%,N/A,N/A,N/A,N/A,N/A,N/A,4.38%,4
005930.KS,0.65%,0.65%,1.38%,N/A,N/A,3.38%,3.25%,N/A,N/A,N/A,N/A,N/A,1.86%,25
0293.HK,N/A,N/A,1.32%,1.34%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.33%,10
0388.HK,1.47%,1.47%,2.63%,N/A,N/A,6.25%,3.74%,5.41%,4.38%,4.67%,N/A,N/A,3.75%,8
0981.HK,2.91%,N/A,N/A,5.60%,7.06%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.19%,3
1810.HK,2.70%,4.34%,N/A,N/A,6.96%,11.33%,N/A,N/A,N/A,N/A,N/A,N/A,6.33%,20
2222.SR,3.65%,4.14%,6.36%,6.45%,N/A,N/A,6.20%,6.54%,6.28%,N/A,N/A,N/A,5.66%,35
2223.SR,1.15%,1.94%,2.66%,4.48%,N/A,N/A,7.41%,N/A,N/A,N/A,N/A,N/A,3.53%,5
2310.SR,4.47%,4.16%,6.62%,4.67%,N/A,N/A,1.84%,3.63%,4.40%,N/A,N/A,N/A,4.25%,7
2317.TW,2.73%,0.43%,0.79%,N/A,N/A,3.88%,4.15%,N/A,N/A,N/A,N/A,N/A,2.40%,25
2354.TW,1.98%,1.92%,1.79%,N/A,N/A,5.02%,5.14%,N/A,N/A,N/A,N/A,N/A,3.17%,10
2882.TW,N/A,N/A,1.97%,0.88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.42%,6
300750.SZ,1.57%,1.68%,2.58%,2.19%,4.16%,6.17%,5.37%,4.08%,5.31%,N/A,N/A,8.06%,3.44%,133
3231.TW,N/A,N/A,3.56%,3.25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.40%,2
5401.T,N/A,N/A,2.19%,1.76%,1.56%,2.06%,2.53%,N/A,N/A,3.82%,4.29%,N/A,2.51%,33
600990.SS,N/A,N/A,3.49%,0.13%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.81%,2
601398.SS,N/A,N/A,7.39%,9.36%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.37%,2
603268.SS,N/A,N/A,0.92%,3.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.21%,2
603288.SS,N/A,N/A,0.33%,0.05%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19%,2
6201.T,4.63%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.63%,1
6448.T,0.36%,2.42%,2.78%,N/A,N/A,2.95%,3.81%,N/A,N/A,N/A,N/A,N/A,2.46%,5
7011.T,N/A,N/A,2.67%,5.18%,6.70%,4.58%,2.03%,N/A,N/A,1.27%,1.57%,N/A,3.43%,14
7201.T,3.91%,3.96%,2.16%,5.89%,N/A,3.65%,5.54%,6.49%,N/A,N/A,N/A,N/A,4.37%,28
7203.T,1.15%,0.79%,N/A,N/A,2.14%,5.40%,2.09%,1.40%,1.78%,N/A,N/A,0.85%,1.95%,8
7211.T,0.88%,4.54%,N/A,N/A,5.09%,12.24%,8.62%,5.75%,5.86%,N/A,N/A,6.16%,5.93%,25
9658.HK,N/A,N/A,8.15%,9.17%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.66%,2
9984.T,2.69%,3.72%,2.65%,3.11%,N/A,0.53%,1.07%,2.62%,N/A,N/A,N/A,N/A,2.41%,33
AAL,4.46%,9.01%,5.15%,4.13%,4.45%,N/A,N/A,3.38%,N/A,N/A,N/A,N/A,5.10%,48
AAPL,1.99%,3.09%,3.62%,5.58%,5.11%,5.15%,5.97%,5.32%,4.34%,4.51%,5.90%,N/A,4.09%,464
AB,1.19%,1.77%,N/A,N/A,1.85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.60%,27
ABBV,1.46%,2.44%,1.59%,5.25%,2.37%,2.17%,6.20%,6.96%,4.13%,4.05%,N/A,5.10%,3.35%,236
ABNB,4.92%,7.24%,6.69%,6.03%,6.57%,N/A,N/A,5.02%,N/A,N/A,N/A,N/A,6.08%,54
AC,3.30%,N/A,N/A,3.89%,7.78%,7.18%,8.03%,5.96%,N/A,N/A,5.74%,N/A,5.99%,47
AC.TO,16.05%,N/A,N/A,18.89%,23.33%,22.51%,24.05%,24.29%,N/A,N/A,N/A,N/A,21.52%,12
ACB,1.95%,2.99%,N/A,N/A,4.96%,6.02%,4.11%,4.11%,5.36%,N/A,N/A,5.44%,4.35%,93
ACDVF,12.77%,N/A,N/A,15.99%,19.86%,18.54%,20.38%,19.79%,N/A,N/A,19.48%,N/A,18.11%,7
ACHR,10.29%,9.77%,17.53%,N/A,N/A,4.21%,N/A,N/A,N/A,N/A,N/A,N/A,10.43%,42
ACRV,N/A,4.03%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.03%,9
ADANIENT.NS,1.05%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.05%,1
ADBE,0.84%,1.68%,1.19%,2.12%,2.46%,2.71%,3.19%,4.71%,4.85%,7.57%,5.76%,N/A,2.79%,191
ADM,1.32%,1.31%,1.56%,4.41%,1.57%,0.40%,3.03%,N/A,N/A,3.10%,N/A,N/A,1.87%,10
ADMA,N/A,N/A,2.28%,5.07%,7.98%,10.43%,8.64%,N/A,N/A,8.15%,N/A,N/A,7.07%,59
AEM,0.96%,1.21%,0.32%,0.14%,N/A,N/A,1.65%,N/A,N/A,N/A,N/A,N/A,0.86%,5
AEO,4.23%,5.84%,7.17%,N/A,3.23%,8.71%,N/A,N/A,N/A,N/A,N/A,N/A,5.13%,105
AFRM,12.30%,11.92%,4.66%,9.18%,11.52%,N/A,N/A,10.14%,N/A,N/A,N/A,N/A,7.68%,21
AGG,1.60%,N/A,N/A,0.29%,0.49%,0.88%,0.41%,0.45%,N/A,N/A,0.63%,N/A,0.68%,7
AGH,7.83%,9.83%,N/A,N/A,10.57%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.41%,3
AGI,2.37%,N/A,N/A,4.54%,5.00%,9.24%,5.99%,6.16%,N/A,N/A,3.71%,N/A,5.29%,7
AGNC,0.85%,1.35%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.28%,7
AI,N/A,5.80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.80%,9
AL,N/A,N/A,2.13%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.13%,9
ALAB,1.33%,2.75%,1.15%,N/A,N/A,2.56%,N/A,N/A,N/A,N/A,N/A,N/A,1.81%,41
ALB,5.06%,5.21%,3.74%,2.37%,2.27%,N/A,N/A,2.19%,N/A,N/A,N/A,N/A,3.50%,59
ALIT,N/A,N/A,2.25%,3.69%,2.91%,2.55%,2.78%,N/A,N/A,4.01%,N/A,N/A,3.01%,53
ALK,3.18%,2.22%,0.51%,1.29%,N/A,N/A,1.45%,N/A,N/A,N/A,N/A,N/A,1.73%,40
ALLY,N/A,3.42%,4.07%,2.46%,2.72%,3.36%,N/A,N/A,4.39%,N/A,N/A,N/A,3.37%,59
AMAT,1.50%,3.96%,1.90%,11.41%,6.66%,8.06%,10.74%,10.80%,11.78%,6.55%,N/A,N/A,6.10%,119
AMD,2.19%,2.76%,4.88%,4.28%,5.09%,5.65%,9.61%,8.35%,10.84%,N/A,N/A,8.40%,5.09%,491
AME,N/A,N/A,0.80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.80%,9
AMTX,1.77%,4.89%,8.83%,N/A,N/A,8.48%,N/A,N/A,N/A,N/A,N/A,N/A,5.99%,36
AMZN,2.56%,3.47%,5.67%,4.86%,5.24%,6.35%,6.51%,5.74%,6.13%,6.75%,3.99%,4.22%,4.83%,598
